"type","title","code"
"class","Dairy Cattle Farming","0160"
"class","Poultry Farming (Meat)","0171"
"class","Poultry Farming (Eggs)","0172"
"class","Deer Farming","0180"
"class","Horse Farming","0191"
"class","Pig Farming","0192"
"class","Beekeeping","0193"
"class","Other Livestock Farming n.e.c.","0199"
"class","Offshore Longline and Rack Aquaculture","0201"
"class","Offshore Caged Aquaculture","0202"
"class","Onshore Aquaculture","0203"
"class","Forestry","0301"
"class","Logging","0302"
"class","Rock Lobster and Crab Potting","0411"
"class","Prawn Fishing","0412"
"class","Line Fishing","0413"
"class","Fish Trawling, Seining and Netting","0414"
"class","Other Fishing","0419"
"class","Hunting and Trapping","0420"
"class","Forestry Support Services","0510"
"class","Cotton Ginning","0521"
"class","Shearing Services","0522"
"class","Other Agriculture and Fishing Support Services","0529"
"class","Coal Mining","0600"
"class","Oil and Gas Extraction","0700"
"class","Iron Ore Mining","0801"
"class","Bauxite Mining","0802"
"class","Copper Ore Mining","0803"
"class","Gold Ore Mining","0804"
"class","Mineral Sand Mining","0805"
"class","Nickel Ore Mining","0806"
"class","Silver-Lead-Zinc Ore Mining","0807"
"class","Other Metal Ore Mining","0809"
"class","Gravel and Sand Quarrying","0911"
"class","Other Construction Material Mining","0919"
"class","Other Non-Metallic Mineral Mining and Quarrying","0990"
"class","Petroleum Exploration","1011"
"class","Mineral Exploration","1012"
"class","Other Mining Support Services","1090"
"class","Meat Processing","1111"
"class","Poultry Processing","1112"
"class","Cured Meat and Smallgoods Manufacturing","1113"
"class","Seafood Processing","1120"
"class","Milk and Cream Processing","1131"
"class","Ice Cream Manufacturing","1132"
"class","Cheese and Other Dairy Product Manufacturing","1133"
"class","Fruit and Vegetable Processing","1140"
"class","Oil and Fat Manufacturing","1150"
"class","Grain Mill Product Manufacturing","1161"
"class","Cereal, Pasta and Baking Mix Manufacturing","1162"
"class","Bread Manufacturing (Factory based)","1171"
"class","Cake and Pastry Manufacturing (Factory based)","1172"
"class","Biscuit Manufacturing (Factory based)","1173"
"class","Bakery Product Manufacturing (Non-factory based)","1174"
"class","Sugar Manufacturing","1181"
"class","Confectionery Manufacturing","1182"
"class","Potato, Corn and Other Crisp Manufacturing","1191"
"class","Prepared Animal and Bird Feed Manufacturing","1192"
"class","Other Food Product Manufacturing n.e.c.","1199"
"class","Soft Drink, Cordial and Syrup Manufacturing","1211"
"class","Beer Manufacturing","1212"
"class","Spirit Manufacturing","1213"
"class","Wine and Other Alcoholic Beverage Manufacturing","1214"
"class","Cigarette and Tobacco Product Manufacturing","1220"
"class","Wool Scouring","1311"
"class","Natural Textile Manufacturing","1312"
"class","Synthetic Textile Manufacturing","1313"
"class","Leather Tanning, Fur Dressing and Leather Product Manufacturing","1320"
"class","Textile Floor Covering Manufacturing","1331"
"class","Rope, Cordage and Twine Manufacturing","1332"
"class","Cut and Sewn Textile Product Manufacturing","1333"
"class","Textile Finishing and Other Textile Product Manufacturing","1334"
"class","Knitted Product Manufacturing","1340"
"class","Clothing Manufacturing","1351"
"class","Footwear Manufacturing","1352"
"class","Log Sawmilling","1411"
"class","Wood Chipping","1412"
"class","Timber Resawing and Dressing","1413"
"class","Prefabricated Wooden Building Manufacturing","1491"
"class","Wooden Structural Fitting and Component Manufacturing","1492"
"class","Veneer and Plywood Manufacturing","1493"
"class","Reconstituted Wood Product Manufacturing","1494"
"class","Other Wood Product Manufacturing n.e.c.","1499"
"class","Pulp, Paper and Paperboard Manufacturing","1510"
"class","Corrugated Paperboard and Paperboard Container Manufacturing","1521"
"class","Paper Bag Manufacturing","1522"
"class","Paper Stationery Manufacturing","1523"
"class","Sanitary Paper Product Manufacturing","1524"
"class","Other Converted Paper Product Manufacturing","1529"
"class","Printing","1611"
"class","Printing Support Services","1612"
"class","Reproduction of Recorded Media","1620"
"class","Petroleum Refining and Petroleum Fuel Manufacturing","1701"
"class","Other Petroleum and Coal Product Manufacturing","1709"
"class","Industrial Gas Manufacturing","1811"
"class","Basic Organic Chemical Manufacturing","1812"
"class","Basic Inorganic Chemical Manufacturing","1813"
"class","Synthetic Resin and Synthetic Rubber Manufacturing","1821"
"class","Other Basic Polymer Manufacturing","1829"
"class","Fertiliser Manufacturing","1831"
"class","Pesticide Manufacturing","1832"
"class","Human Pharmaceutical and Medicinal Product Manufacturing","1841"
"class","Veterinary Pharmaceutical and Medicinal Product Manufacturing","1842"
"class","Cleaning Compound Manufacturing","1851"
"class","Cosmetic and Toiletry Preparation Manufacturing","1852"
"class","Photographic Chemical Product Manufacturing","1891"
"class","Explosive Manufacturing","1892"
"class","Other Basic Chemical Product Manufacturing n.e.c.","1899"
"class","Polymer Film and Sheet Packaging Material Manufacturing","1911"
"class","Rigid and Semi-Rigid Polymer Product Manufacturing","1912"
"class","Polymer Foam Product Manufacturing","1913"
"class","Tyre Manufacturing","1914"
"class","Adhesive Manufacturing","1915"
"class","Paint and Coatings Manufacturing","1916"
"class","Other Polymer Product Manufacturing","1919"
"class","Natural Rubber Product Manufacturing","1920"
"class","Glass and Glass Product Manufacturing","2010"
"class","Clay Brick Manufacturing","2021"
"class","Other Ceramic Product Manufacturing","2029"
"class","Cement and Lime Manufacturing","2031"
"class","Plaster Product Manufacturing","2032"
"class","Ready-Mixed Concrete Manufacturing","2033"
"class","Concrete Product Manufacturing","2034"
"class","Other Non-Metallic Mineral Product Manufacturing","2090"
"class","Iron Smelting and Steel Manufacturing","2110"
"class","Iron and Steel Casting","2121"
"class","Steel Pipe and Tube Manufacturing","2122"
"class","Alumina Production","2131"
"class","Aluminium Smelting","2132"
"class","Copper, Silver, Lead and Zinc Smelting and Refining","2133"
"class","Other Basic Non-Ferrous Metal Manufacturing","2139"
"class","Non-Ferrous Metal Casting","2141"
"class","Aluminium Rolling, Drawing, Extruding","2142"
"class","Other Basic Non-Ferrous Metal Product Manufacturing","2149"
"class","Iron and Steel Forging","2210"
"class","Structural Steel Fabricating","2221"
"class","Prefabricated Metal Building Manufacturing","2222"
"class","Architectural Aluminium Product Manufacturing","2223"
"class","Metal Roof and Guttering Manufacturing (except Aluminium)","2224"
"class","Other Structural Metal Product Manufacturing","2229"
"class","Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing","2231"
"class","Other Metal Container Manufacturing","2239"
"class","Sheet Metal Product Manufacturing (except Metal Structural and Container","2240"
"class","Spring and Wire Product Manufacturing","2291"
"class","Nut, Bolt, Screw and Rivet Manufacturing","2292"
"class","Metal Coating and Finishing","2293"
"class","Other Fabricated Metal Product Manufacturing n.e.c.","2299"
"class","Motor Vehicle Manufacturing","2311"
"class","Motor Vehicle Body and Trailer Manufacturing","2312"
"class","Automotive Electrical Component Manufacturing","2313"
"class","Other Motor Vehicle Parts Manufacturing","2319"
"class","Shipbuilding and Repair Services","2391"
"class","Boatbuilding and Repair Services","2392"
"class","Railway Rolling Stock Manufacturing and Repair Services","2393"
"class","Aircraft Manufacturing and Repair Services","2394"
"class","Other Transport Equipment Manufacturing n.e.c.","2399"
"class","Photographic, Optical and Ophthalmic Equipment Manufacturing","2411"
"class","Medical and Surgical Equipment Manufacturing","2412"
"class","Other Professional and Scientific Equipment Manufacturing","2419"
"class","Computer and Electronic Office Equipment Manufacturing","2421"
"class","Communication Equipment Manufacturing","2422"
"class","Other Electronic Equipment Manufacturing","2429"
"class","Electric Cable and Wire Manufacturing","2431"
"class","Electric Lighting Equipment Manufacturing","2432"
"class","Other Electrical Equipment Manufacturing","2439"
"class","Whiteware Appliance Manufacturing","2441"
"class","Other Domestic Appliance Manufacturing","2449"
"class","Pump and Compressor Manufacturing","2451"
"class","Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing","2452"
"class","Agricultural Machinery and Equipment Manufacturing","2461"
"class","Mining and Construction Machinery Manufacturing","2462"
"class","Machine Tool and Parts Manufacturing","2463"
"class","Other Specialised Machinery and Equipment Manufacturing","2469"
"class","Lifting and Material Handling Equipment Manufacturing","2491"
"class","Other Machinery and Equipment Manufacturing n.e.c.","2499"
"class","Wooden Furniture and Upholstered Seat Manufacturing","2511"
"class","Metal Furniture Manufacturing","2512"
"class","Mattress Manufacturing","2513"
"class","Other Furniture Manufacturing","2519"
"class","Jewellery and Silverware Manufacturing","2591"
"class","Toy, Sporting and Recreational Product Manufacturing","2592"
"class","Other Manufacturing n.e.c.","2599"
"class","Fossil Fuel Electricity Generation","2611"
"class","Hydro-Electricity Generation","2612"
"class","Other Electricity Generation","2619"
"class","Electricity Transmission","2620"
"class","Electricity Distribution","2630"
"class","On Selling Electricity and Electricity Market Operation","2640"
"class","Gas Supply","2700"
"class","Water Supply","2811"
"class","Sewerage and Drainage Services","2812"
"class","Solid Waste Collection Services","2911"
"class","Other Waste Collection Services","2919"
"class","Waste Treatment and Disposal Services","2921"
"class","Waste Remediation and Materials Recovery Services","2922"
"class","House Construction","3011"
"class","Other Residential Building Construction","3019"
"class","Non-Residential Building Construction","3020"
"class","Road and Bridge Construction","3101"
"class","Other Heavy and Civil Engineering Construction","3109"
"class","Land Development and Subdivision","3211"
"class","Site Preparation Services","3212"
"class","Concreting Services","3221"
"class","Bricklaying Services","3222"
"class","Roofing Services","3223"
"class","Structural Steel Erection Services","3224"
"class","Plumbing Services","3231"
"class","Electrical Services","3232"
"class","Air Conditioning and Heating Services","3233"
"class","Fire and Security Alarm Installation Services","3234"
"class","Other Building Installation Services","3239"
"class","Plastering and Ceiling Services","3241"
"class","Carpentry Services","3242"
"class","Tiling and Carpeting Services","3243"
"class","Painting and Decorating Services","3244"
"class","Glazing Services","3245"
"class","Landscape Construction Services","3291"
"class","Hire of Construction Machinery with Operator","3292"
"class","Other Construction Services n.e.c.","3299"
"class","Wool Wholesaling","3311"
"class","Cereal Grain Wholesaling","3312"
"class","Other Agricultural Product Wholesaling","3319"
"class","Petroleum Product Wholesaling","3321"
"class","Metal and Mineral Wholesaling","3322"
"class","Industrial and Agricultural Chemical Product Wholesaling","3323"
"class","Timber Wholesaling","3331"
"class","Plumbing Goods Wholesaling","3332"
"class","Other Hardware Goods Wholesaling","3339"
"class","Agricultural and Construction Machinery Wholesaling","3411"
"class","Other Specialised Industrial Machinery and Equipment Wholesaling","3419"
"class","Professional and Scientific Goods Wholesaling","3491"
"class","Computer and Computer Peripheral Wholesaling","3492"
"class","Telecommunication Goods Wholesaling","3493"
"class","Other Electrical and Electronic Goods Wholesaling","3494"
"class","Other Machinery and Equipment Wholesaling n.e.c.","3499"
"class","Car Wholesaling","3501"
"class","Commercial Vehicle Wholesaling","3502"
"class","Trailer and Other Motor Vehicle Wholesaling","3503"
"class","Motor Vehicle New Parts Wholesaling","3504"
"class","Motor Vehicle Dismantling and Used Parts Wholesaling","3505"
"class","General Line Grocery Wholesaling","3601"
"class","Meat, Poultry and Smallgoods Wholesaling","3602"
"class","Dairy Produce Wholesaling","3603"
"class","Fish and Seafood Wholesaling","3604"
"class","Fruit and Vegetable Wholesaling","3605"
"class","Liquor and Tobacco Product Wholesaling","3606"
"class","Other Grocery Wholesaling","3609"
"class","Textile Product Wholesaling","3711"
"class","Clothing and Footwear Wholesaling","3712"
"class","Pharmaceutical and Toiletry Goods Wholesaling","3720"
"class","Furniture and Floor Covering Wholesaling","3731"
"class","Jewellery and Watch Wholesaling","3732"
"class","Kitchen and Diningware Wholesaling","3733"
"class","Toy and Sporting Goods Wholesaling","3734"
"class","Book and Magazine Wholesaling","3735"
"class","Paper Product Wholesaling","3736"
"class","Other Goods Wholesaling n.e.c.","3739"
"class","Commission-Based Wholesaling","3800"
"class","Car Retailing","3911"
"class","Motor Cycle Retailing","3912"
"class","Trailer and Other Motor Vehicle Retailing","3913"
"class","Motor Vehicle Parts Retailing","3921"
"class","Tyre Retailing","3922"
"class","Fuel Retailing","4000"
"class","Supermarket and Grocery Stores","4110"
"class","Fresh Meat, Fish and Poultry Retailing","4121"
"class","Fruit and Vegetable Retailing","4122"
"class","Liquor Retailing","4123"
"class","Other Specialised Food Retailing","4129"
"class","Furniture Retailing","4211"
"class","Floor Coverings Retailing","4212"
"class","Houseware Retailing","4213"
"class","Manchester and Other Textile Goods Retailing","4214"
"class","Electrical, Electronic and Gas Appliance Retailing","4221"
"class","Computer and Computer Peripheral Retailing","4222"
"class","Other Electrical and Electronic Goods Retailing","4229"
"class","Hardware and Building Supplies Retailing","4231"
"class","Garden Supplies Retailing","4232"
"class","Sport and Camping Equipment Retailing","4241"
"class","Entertainment Media Retailing","4242"
"class","Toy and Game Retailing","4243"
"class","Newspaper and Book Retailing","4244"
"class","Marine Equipment Retailing","4245"
"class","Clothing Retailing","4251"
"class","Footwear Retailing","4252"
"class","Watch and Jewellery Retailing","4253"
"class","Other Personal Accessory Retailing","4259"
"class","Department Stores","4260"
"class","Pharmaceutical, Cosmetic and Toiletry Goods Retailing","4271"
"class","Stationery Goods Retailing","4272"
"class","Antique and Used Goods Retailing","4273"
"class","Flower Retailing","4274"
"class","Other Store-Based Retailing n.e.c.","4279"
"class","Non-Store Retailing","4310"
"class","Retail Commission-Based Buying and/or Selling","4320"
"class","Accommodation","4400"
"class","Cafes and Restaurants","4511"
"class","Takeaway Food Services","4512"
"class","Catering Services","4513"
"class","Pubs, Taverns and Bars","4520"
"class","Clubs (Hospitality)","4530"
"class","Road Freight Transport","4610"
"class","Interurban and Rural Bus Transport","4621"
"class","Urban Bus Transport (Including Tramway)","4622"
"class","Taxi and Other Road Transport","4623"
"class","Rail Freight Transport","4710"
"class","Rail Passenger Transport","4720"
"class","Water Freight Transport","4810"
"class","Water Passenger Transport","4820"
"class","Air and Space Transport","4900"
"class","Scenic and Sightseeing Transport","5010"
"class","Pipeline Transport","5021"
"class","Other Transport n.e.c.","5029"
"class","Postal Services","5101"
"class","Courier Pick-up and Delivery Services","5102"
"class","Stevedoring Services","5211"
"class","Port and Water Transport Terminal Operations","5212"
