sa2_code_16,ANZSIC,mean,std,count
401011001.0,9111.0,45315.04293629047,34748.85594855366,16.0
401011001.0,9419.0,26853.544166829088,12313.179886451977,23.0
401011001.0,9511.0,41445.13278882244,31774.383559504233,107.0
401011001.0,9539.0,11615.87903470172,10118.992722731302,36.0
401011001.0,9999.0,71436.2245831882,69973.45661716125,24.0
401011002.0,4511.0,69110.72451887968,44772.29685669183,54.0
401011002.0,4512.0,49118.652015588086,35065.82762707061,15.0
401011002.0,6240.0,55182.53032335917,45518.606289496405,10.0
401011002.0,6419.0,34983.414569415254,29948.723991781866,22.0
401011002.0,6712.0,27693.999853408248,30874.254556609187,12.0
401011002.0,6720.0,41997.48011591537,28477.15329874108,10.0
401011002.0,6923.0,31062.282407424696,25846.210020858143,12.0
401011002.0,6931.0,38422.933710262594,27369.689626733736,13.0
401011002.0,6932.0,37396.53196959093,30772.211975220194,22.0
401011002.0,6962.0,34215.76443581969,31149.305517563884,18.0
401011002.0,7291.0,66385.13710049966,60730.9322933336,20.0
401011002.0,8511.0,53849.92684755958,43342.43803209466,34.0
401011002.0,8512.0,29944.118889156634,21682.5698723301,68.0
401011002.0,8533.0,31244.339467518756,33208.92791740012,14.0
401011002.0,8539.0,21044.786291139655,16097.159354409398,31.0
401011002.0,9511.0,31433.9198285828,17462.69374857919,24.0
401021004.0,42.0,40870.44638336988,30870.59839070179,10.0
401021004.0,4511.0,37606.747123747264,22295.911508944995,16.0
401021004.0,6962.0,13207.038459989124,9192.979461845238,10.0
401021004.0,8511.0,39267.21561545788,41922.18332457123,15.0
401021004.0,8539.0,14019.233460231546,10552.826684198786,33.0
401021004.0,9511.0,20821.9538752244,12443.242573113059,15.0
401021006.0,13.0,27971.007833666437,35851.93648662012,18.0
401021006.0,14.0,8361.939286294582,6468.516539053042,13.0
401021007.0,42.0,48241.95631760795,36168.09369781895,20.0
401021007.0,4511.0,59206.70716443988,49149.53759590124,12.0
401021007.0,8539.0,12754.94727145928,7114.919784892487,12.0
401021007.0,9419.0,19511.701824634332,9382.330040800392,14.0
401021007.0,9511.0,24483.045164009916,14232.842873526708,15.0
401021008.0,14.0,19688.87040430186,22064.18844704974,12.0
401031011.0,32.0,21991.708319301164,17346.381460224962,10.0
401031011.0,4511.0,62379.87853303586,48247.84313919168,26.0
401031011.0,4512.0,43787.245932949765,26489.82928513424,19.0
401031011.0,6419.0,17943.28098277876,14495.593171631022,14.0
401031011.0,6931.0,17644.11606390246,15441.37627521353,12.0
401031011.0,6962.0,9875.509970923305,9119.733232687244,19.0
